id,slug,title
1008,lycoris-recoil,
1009,maboroshi,
1010,machine-doll-wa-kizutsukanai,
1011,macross-delta,
1012,madan-no-ou-to-vanadis,
1013,made-in-abyss,
1014,magi-adventure-of-sinbad,
1015,magi-the-labyrinth-of-magic,
1016,magic-academys-genius-blinker,
1017,magic-emperor,
1018,magic-kyun-renaissance,
1019,magic-maker,
1020,magical-destroyers,
1021,magical-girl-holy-shit,
1022,magical-girl-site,
1023,magilumiere,
1024,mahou-shoujo-ikusei-keikaku,
1025,mahou-shoujo-madoka-magica,
1026,mahou-shoujo-madoka-magica-gaiden,
1027,mahoutsukai-reimeiki,
1028,majo-to-yajuu,
1029,major,
1030,majutsushi-kunon-wa-mieteiru,
1031,make-heroine-ga-ooisugiru,
1032,management-of-novice-alchemist,
1033,manager-kim,
1034,manchuria-opium-squad,
1035,maou-2099,
1036,maou-gun-saikyou-no-majutsushi-wa-ningen-datta,
1037,maou-jou-de-oyasumi,
1038,maou-no-musume-wa-yasashi-sugiru,
1039,maoyuu-maou-yuusha,
1040,maquia-when-the-promised-flower-blooms,
1041,march-comes-in-like-a-lion,
1042,marchen-crown,
1043,maria-no-danzai,
1044,marriage-toxin,
1045,marry-my-husband,
1046,martial-peak,
1047,masamune-kun-no-revenge,
1048,mashle,
1049,masked-noise,
1050,master-keaton,
1051,mattaku-saikin-no-tantei-to-kitara,
1052,mawaru-penguindrum,
1053,may-i-ask-for-one-final-thing,
1054,maybe-meant-to-be,
1055,mayonaka-heart-tune,
1056,mayonaka-punch,
1057,mecha-ude,
1058,medaka-box,
1059,medalist,
1060,megalo-box,
1061,megami-no-cafe-terrace,
1062,meiji-gekken-1874,
1063,meikyuu-black-company,
1064,mercenary-enrollment,
1065,mermaid-melody-pichi-pichi-pitch,
1066,mes-voisins-les-yamada,
1067,metallic-rouge,
1068,mf-ghost,
1069,michiko-to-hatchin,
1070,mieruko-chan,
1071,mightiest-melee-magician,
1072,migi-and-dali,
1073,miira-no-kaikata,
1074,mikadono-sanshimai-wa-angai-choroi,
1075,mikakunin-de-shinkoukei,
1076,mirai-ma-petite-soeur,
1077,mirai-nikki,
1078,mission-yozakura-family,
1079,mo-dao-zu-shi,
1080,mob-kara-hajimaru-tansaku-eiyuutan,
1081,mob-psycho-100,
1082,mobile-suit-gundam,
1083,moi-le-maitre-des-interdits,
1084,momentary-lily,
1085,momokuri,
1086,mon-anti-fan,
1087,mon-oni-a-moi,
1088,mon-plus-grand-secret,
1089,mon-voisin-totoro,
1090,mondaiji-tachi-desu-yo,
1091,mono,
1092,monogatari,
1093,mononoke,
1094,monster,
1095,monster-103-mercies-dragon-damnation,
1096,moonrise,
1097,more-than-a-married-couple-but-not-lovers,
1098,moriarty,
1099,mort-imminente,
1100,mother-parasite,
1101,mou-ippon,
1102,mount-hua-sects-genius-phantom-swordsman,
1103,mr-zombie,
1104,muchuu-sa-kimi-ni,
1105,murim-login,
1106,musaigen-no-phantom-world,
1107,mushishi,
1108,mushoku-tensei,
1109,my-clueless-first-friend,
1110,my-dad-is-too-strong,
1111,my-daemon,
1112,my-daughter-grew-up-to-rank-s-adventurer,
1113,my-deer-friend-nokotan,
1114,my-dress-up-darling,
1115,my-gift-lvl-9999-unlimited-gacha,
1116,my-happy-marriage,
1117,my-hero-academia,
1118,my-hero-academia-vigilantes,
